frame,Happy,Sad,Surprise,Angry,Disgust
0,0.78,0.09,0.01,0.81,0.89
1,0.78,0.09,0.00,0.70,0.81
2,0.85,0.09,0.01,0.74,0.72
3,0.84,0.08,0.01,0.81,0.80
4,0.84,0.09,0.01,0.76,0.78
5,0.74,0.07,0.00,0.88,0.87
6,0.91,0.03,0.01,0.76,0.85
7,0.71,0.15,0.01,0.78,0.89
8,0.61,0.06,0.00,0.82,0.93
9,0.65,0.06,0.00,0.88,0.83
10,0.89,0.08,0.01,0.77,0.69
11,0.88,0.04,0.00,0.83,0.88
12,0.88,0.04,0.01,0.72,0.83
13,0.86,0.05,0.00,0.83,0.90
14,0.91,0.07,0.01,0.70,0.77
15,0.92,0.03,0.00,0.76,0.76
16,0.91,0.04,0.02,0.55,0.68
17,0.36,0.08,0.00,0.87,0.94
18,0.81,0.04,0.01,0.76,0.88
19,0.37,0.13,0.00,0.93,0.94
20,0.91,0.08,0.01,0.59,0.75
21,0.77,0.03,0.00,0.81,0.92
22,0.79,0.04,0.00,0.72,0.89
23,0.76,0.09,0.00,0.87,0.89
24,0.71,0.03,0.00,0.76,0.92
25,0.71,0.06,0.01,0.71,0.80
26,0.81,0.06,0.00,0.60,0.89
27,0.59,0.07,0.00,0.91,0.95
28,0.85,0.04,0.01,0.70,0.84
29,0.52,0.05,0.00,0.87,0.97
30,0.83,0.03,0.00,0.90,0.92
31,0.83,0.05,0.00,0.87,0.87
32,0.95,0.02,0.00,0.81,0.92
33,0.89,0.03,0.00,0.86,0.92
34,0.92,0.06,0.01,0.80,0.83
35,0.85,0.06,0.00,0.88,0.88
36,0.61,0.08,0.01,0.77,0.96
37,0.88,0.07,0.01,0.85,0.84
38,0.85,0.07,0.01,0.88,0.88
39,0.81,0.05,0.00,0.85,0.89
40,0.85,0.06,0.00,0.69,0.80
41,0.71,0.08,0.01,0.86,0.86
42,0.88,0.05,0.00,0.79,0.88
43,0.78,0.02,0.00,0.83,0.93
44,0.73,0.02,0.00,0.87,0.93
45,0.64,0.04,0.00,0.91,0.96
46,0.75,0.07,0.01,0.86,0.87
47,0.80,0.05,0.01,0.81,0.78
48,0.43,0.06,0.00,0.89,0.94
49,0.55,0.06,0.00,0.81,0.92
50,0.74,0.09,0.00,0.87,0.92
51,0.80,0.05,0.00,0.71,0.93
52,0.88,0.03,0.00,0.75,0.77
53,0.81,0.03,0.00,0.82,0.84
54,0.70,0.06,0.00,0.86,0.93
55,0.67,0.11,0.00,0.74,0.94
56,0.74,0.03,0.00,0.85,0.89
57,0.55,0.15,0.01,0.86,0.85
