frame,Happy,Sad,Surprise,Angry,Disgust
58,0.55,0.11,0.01,0.79,0.87
59,0.66,0.04,0.01,0.79,0.85
60,0.85,0.06,0.01,0.75,0.85
61,0.83,0.08,0.00,0.83,0.81
62,0.70,0.12,0.01,0.72,0.91
63,0.76,0.09,0.02,0.68,0.58
64,0.82,0.06,0.01,0.79,0.84
65,0.74,0.11,0.01,0.66,0.70
66,0.59,0.09,0.01,0.67,0.81
67,0.75,0.11,0.01,0.69,0.78
68,0.42,0.17,0.01,0.79,0.83
69,0.49,0.15,0.01,0.76,0.78
70,0.89,0.03,0.00,0.74,0.83
71,0.82,0.09,0.00,0.88,0.95
72,0.87,0.03,0.01,0.77,0.89
73,0.92,0.03,0.00,0.69,0.88
74,0.84,0.09,0.01,0.75,0.83
75,0.48,0.12,0.00,0.82,0.96
76,0.79,0.21,0.00,0.91,0.86
77,0.79,0.07,0.00,0.87,0.86
78,0.82,0.05,0.01,0.75,0.91
79,0.87,0.04,0.00,0.76,0.76
80,0.90,0.03,0.00,0.66,0.84
81,0.86,0.04,0.00,0.86,0.87
82,0.94,0.02,0.00,0.58,0.88
83,0.86,0.04,0.00,0.80,0.94
84,0.82,0.07,0.01,0.67,0.77
85,0.87,0.01,0.00,0.86,0.91
86,0.66,0.13,0.01,0.87,0.82
87,0.78,0.05,0.01,0.66,0.88
88,0.79,0.07,0.01,0.65,0.83
89,0.71,0.05,0.00,0.78,0.91
90,0.71,0.08,0.00,0.90,0.95
91,0.74,0.06,0.00,0.83,0.91
92,0.75,0.06,0.00,0.84,0.92
93,0.83,0.06,0.01,0.63,0.80
94,0.57,0.06,0.00,0.76,0.87
95,0.77,0.11,0.01,0.70,0.84
96,0.71,0.18,0.01,0.85,0.80
97,0.64,0.18,0.01,0.76,0.84
98,0.36,0.15,0.00,0.92,0.88
99,0.39,0.13,0.00,0.88,0.96
100,0.68,0.07,0.00,0.81,0.92
101,0.79,0.03,0.01,0.85,0.90
102,0.77,0.07,0.00,0.83,0.83
103,0.54,0.04,0.00,0.95,0.95
104,0.75,0.08,0.01,0.85,0.75
105,0.55,0.15,0.01,0.84,0.85
106,0.77,0.04,0.01,0.83,0.78
107,0.62,0.18,0.01,0.81,0.79
108,0.64,0.10,0.03,0.85,0.75
109,0.45,0.16,0.05,0.76,0.52
110,0.49,0.11,0.03,0.61,0.69
111,0.24,0.22,0.04,0.77,0.70
112,0.51,0.12,0.06,0.82,0.53
113,0.33,0.30,0.12,0.71,0.65
114,0.34,0.42,0.13,0.74,0.71
115,0.29,0.50,0.14,0.77,0.64
116,0.38,0.77,0.21,0.76,0.55
117,0.22,0.51,0.05,0.80,0.57
118,0.28,0.29,0.01,0.88,0.64
119,0.29,0.26,0.02,0.87,0.55
120,0.38,0.23,0.10,0.71,0.48
121,0.60,0.21,0.14,0.56,0.46
122,0.46,0.08,0.07,0.77,0.49
123,0.55,0.12,0.02,0.72,0.65
124,0.64,0.12,0.05,0.71,0.47
125,0.59,0.13,0.14,0.73,0.43
126,0.35,0.17,0.04,0.83,0.60
127,0.36,0.17,0.02,0.80,0.66
128,0.66,0.20,0.10,0.51,0.43
129,0.54,0.06,0.02,0.73,0.49
130,0.61,0.06,0.05,0.65,0.50
131,0.40,0.20,0.06,0.71,0.62
132,0.51,0.04,0.02,0.85,0.47
133,0.49,0.09,0.02,0.75,0.59
134,0.71,0.10,0.02,0.81,0.33
135,0.70,0.05,0.03,0.84,0.37
136,0.61,0.11,0.05,0.82,0.36
137,0.58,0.07,0.07,0.78,0.45
138,0.51,0.04,0.01,0.89,0.44
139,0.72,0.04,0.02,0.86,0.22
140,0.45,0.30,0.16,0.66,0.48
141,0.52,0.32,0.15,0.71,0.55
142,0.27,0.23,0.08,0.80,0.58
143,0.51,0.22,0.05,0.81,0.68
144,0.38,0.10,0.01,0.89,0.53
145,0.44,0.34,0.10,0.68,0.39
146,0.28,0.19,0.03,0.81,0.65
147,0.69,0.15,0.02,0.89,0.49
148,0.37,0.11,0.02,0.89,0.60
149,0.50,0.14,0.04,0.75,0.50
150,0.41,0.13,0.07,0.84,0.69
151,0.24,0.09,0.01,0.91,0.54
152,0.29,0.31,0.08,0.49,0.41
153,0.46,0.07,0.01,0.94,0.74
154,0.50,0.06,0.01,0.92,0.64
155,0.22,0.34,0.08,0.75,0.65
156,0.22,0.23,0.07,0.84,0.55
157,0.62,0.10,0.05,0.82,0.64
158,0.54,0.13,0.02,0.89,0.43
159,0.26,0.14,0.04,0.81,0.52
160,0.42,0.22,0.13,0.66,0.42
161,0.16,0.26,0.05,0.82,0.72
162,0.29,0.29,0.05,0.73,0.64
163,0.31,0.31,0.12,0.72,0.47
164,0.30,0.42,0.14,0.75,0.45
165,0.67,0.05,0.02,0.88,0.75
166,0.35,0.14,0.09,0.77,0.65
167,0.34,0.25,0.05,0.74,0.66
168,0.40,0.23,0.20,0.71,0.55
169,0.33,0.31,0.08,0.63,0.48
170,0.59,0.20,0.06,0.79,0.73
171,0.59,0.12,0.09,0.78,0.50
172,0.51,0.14,0.09,0.74,0.53
173,0.69,0.04,0.01,0.91,0.79
174,0.39,0.20,0.04,0.91,0.66
175,0.55,0.22,0.16,0.60,0.51
176,0.23,0.16,0.02,0.85,0.70
177,0.52,0.09,0.04,0.82,0.78
178,0.61,0.13,0.03,0.82,0.61
179,0.43,0.17,0.02,0.86,0.62
180,0.53,0.22,0.08,0.85,0.60
181,0.52,0.16,0.07,0.62,0.47
182,0.33,0.31,0.06,0.67,0.54
183,0.55,0.10,0.03,0.92,0.75
184,0.64,0.07,0.01,0.88,0.58
185,0.38,0.16,0.03,0.82,0.48
186,0.33,0.18,0.04,0.73,0.65
187,0.63,0.05,0.07,0.85,0.61
188,0.49,0.10,0.01,0.93,0.53
189,0.54,0.17,0.10,0.60,0.47
190,0.55,0.11,0.05,0.84,0.55
191,0.53,0.10,0.10,0.75,0.46
192,0.39,0.11,0.01,0.87,0.66
193,0.64,0.07,0.03,0.85,0.56
194,0.61,0.05,0.04,0.80,0.55
195,0.51,0.20,0.16,0.68,0.53
196,0.74,0.04,0.03,0.77,0.46
197,0.61,0.08,0.01,0.88,0.50
198,0.59,0.04,0.02,0.85,0.57
199,0.53,0.04,0.01,0.87,0.77
200,0.66,0.10,0.02,0.72,0.57
201,0.60,0.14,0.03,0.88,0.52
202,0.60,0.14,0.04,0.82,0.38
203,0.50,0.08,0.05,0.87,0.74
204,0.57,0.07,0.01,0.91,0.56
205,0.69,0.14,0.07,0.76,0.36
206,0.64,0.07,0.03,0.80,0.39
207,0.60,0.06,0.01,0.95,0.71
208,0.46,0.06,0.00,0.94,0.82
209,0.65,0.22,0.12,0.66,0.49
210,0.69,0.07,0.03,0.87,0.45
211,0.69,0.05,0.01,0.95,0.60
212,0.66,0.04,0.02,0.84,0.39
213,0.54,0.10,0.03,0.76,0.48
214,0.65,0.04,0.02,0.87,0.67
215,0.68,0.07,0.02,0.85,0.47
216,0.76,0.05,0.02,0.78,0.32
217,0.74,0.05,0.03,0.82,0.45
218,0.78,0.06,0.01,0.84,0.65
219,0.66,0.07,0.01,0.82,0.46
220,0.50,0.36,0.24,0.52,0.36
221,0.66,0.25,0.21,0.44,0.48
222,0.66,0.28,0.16,0.38,0.40
223,0.38,0.16,0.02,0.74,0.75
224,0.75,0.15,0.04,0.58,0.64
225,0.66,0.17,0.03,0.65,0.62
226,0.77,0.16,0.06,0.59,0.49
227,0.64,0.18,0.05,0.63,0.69
228,0.70,0.18,0.06,0.59,0.53
229,0.73,0.11,0.02,0.79,0.64
230,0.52,0.16,0.08,0.75,0.57
231,0.55,0.20,0.03,0.78,0.53
232,0.54,0.08,0.02,0.89,0.69
233,0.48,0.24,0.03,0.79,0.65
234,0.71,0.14,0.04,0.79,0.34
235,0.57,0.08,0.02,0.90,0.64
236,0.52,0.20,0.01,0.81,0.70
237,0.62,0.11,0.02,0.85,0.56
238,0.63,0.10,0.01,0.86,0.63
239,0.70,0.08,0.02,0.82,0.27
240,0.71,0.20,0.06,0.62,0.42
241,0.57,0.18,0.04,0.77,0.41
242,0.57,0.26,0.03,0.67,0.45
243,0.60,0.08,0.04,0.77,0.48
244,0.69,0.17,0.05,0.71,0.49
245,0.55,0.10,0.06,0.73,0.48
246,0.50,0.36,0.03,0.76,0.56
247,0.66,0.07,0.02,0.87,0.55
248,0.65,0.13,0.03,0.79,0.55
249,0.32,0.18,0.03,0.89,0.80
250,0.53,0.17,0.05,0.72,0.47
251,0.41,0.06,0.03,0.85,0.59
252,0.66,0.18,0.02,0.67,0.44
253,0.67,0.33,0.02,0.74,0.59
254,0.59,0.08,0.01,0.83,0.57
255,0.53,0.20,0.02,0.77,0.73
256,0.77,0.06,0.02,0.81,0.46
257,0.58,0.15,0.02,0.86,0.65
258,0.65,0.06,0.02,0.71,0.44
259,0.61,0.12,0.01,0.74,0.73
260,0.50,0.25,0.03,0.82,0.74
261,0.46,0.10,0.02,0.82,0.67
262,0.41,0.15,0.07,0.79,0.67
263,0.54,0.24,0.02,0.78,0.63
264,0.52,0.14,0.03,0.87,0.80
265,0.52,0.14,0.01,0.87,0.74
266,0.54,0.14,0.01,0.81,0.83
267,0.41,0.17,0.05,0.77,0.76
268,0.67,0.13,0.03,0.89,0.69
269,0.29,0.24,0.05,0.73,0.75
270,0.53,0.11,0.03,0.84,0.70
271,0.43,0.10,0.02,0.86,0.73
272,0.55,0.20,0.04,0.67,0.59
273,0.67,0.13,0.06,0.57,0.43
274,0.53,0.21,0.03,0.76,0.55
275,0.61,0.16,0.04,0.75,0.63
276,0.54,0.23,0.06,0.74,0.55
277,0.46,0.14,0.03,0.80,0.69
278,0.53,0.22,0.02,0.83,0.67
279,0.45,0.07,0.03,0.81,0.76
280,0.61,0.22,0.05,0.77,0.62
281,0.55,0.09,0.03,0.86,0.73
282,0.43,0.13,0.02,0.85,0.70
283,0.49,0.09,0.02,0.86,0.86
284,0.60,0.09,0.01,0.90,0.77
285,0.36,0.12,0.02,0.88,0.82
286,0.37,0.20,0.01,0.93,0.76
287,0.43,0.27,0.02,0.81,0.75
288,0.51,0.09,0.02,0.79,0.70
289,0.38,0.34,0.03,0.83,0.67
290,0.44,0.12,0.02,0.82,0.71
291,0.58,0.10,0.05,0.78,0.50
292,0.23,0.23,0.01,0.90,0.74
293,0.37,0.10,0.01,0.91,0.85
294,0.38,0.14,0.01,0.87,0.78
295,0.50,0.15,0.01,0.93,0.85
296,0.32,0.18,0.01,0.93,0.85
297,0.54,0.18,0.02,0.86,0.62
298,0.34,0.17,0.02,0.88,0.83
299,0.59,0.16,0.02,0.84,0.67
300,0.43,0.27,0.02,0.78,0.63
301,0.17,0.42,0.04,0.90,0.77
302,0.60,0.21,0.02,0.87,0.71
303,0.24,0.40,0.07,0.80,0.73
304,0.51,0.13,0.03,0.83,0.55
305,0.54,0.17,0.05,0.75,0.60
306,0.53,0.32,0.05,0.71,0.60
307,0.41,0.12,0.03,0.89,0.74
308,0.40,0.32,0.02,0.82,0.74
309,0.38,0.21,0.05,0.83,0.70
310,0.51,0.24,0.05,0.75,0.56
311,0.51,0.16,0.02,0.84,0.78
312,0.36,0.24,0.03,0.85,0.72
313,0.34,0.14,0.02,0.88,0.79
314,0.42,0.22,0.03,0.88,0.73
315,0.57,0.16,0.02,0.89,0.69
316,0.45,0.39,0.16,0.62,0.49
317,0.30,0.23,0.05,0.82,0.71
318,0.40,0.24,0.04,0.79,0.60
319,0.40,0.22,0.03,0.86,0.82
320,0.40,0.23,0.04,0.76,0.66
321,0.57,0.15,0.02,0.81,0.78
322,0.39,0.31,0.07,0.82,0.65
323,0.54,0.31,0.04,0.84,0.62
324,0.45,0.19,0.02,0.91,0.78
325,0.51,0.07,0.02,0.81,0.70
326,0.48,0.32,0.04,0.77,0.72
327,0.37,0.21,0.03,0.82,0.63
328,0.41,0.15,0.03,0.81,0.72
329,0.58,0.13,0.02,0.76,0.72
330,0.24,0.19,0.02,0.84,0.80
331,0.48,0.22,0.04,0.78,0.60
332,0.48,0.13,0.01,0.82,0.64
333,0.53,0.11,0.02,0.83,0.72
334,0.35,0.19,0.01,0.89,0.77
335,0.43,0.13,0.02,0.88,0.62
336,0.17,0.24,0.01,0.87,0.81
337,0.49,0.17,0.03,0.78,0.65
338,0.31,0.13,0.01,0.90,0.78
339,0.20,0.19,0.01,0.94,0.89
340,0.31,0.31,0.04,0.78,0.69
341,0.52,0.42,0.05,0.66,0.61
342,0.28,0.21,0.02,0.86,0.78
343,0.37,0.18,0.03,0.89,0.66
344,0.51,0.14,0.01,0.83,0.79
345,0.51,0.25,0.04,0.77,0.52
346,0.31,0.13,0.01,0.84,0.75
347,0.30,0.20,0.01,0.85,0.69
348,0.42,0.27,0.03,0.75,0.61
349,0.48,0.12,0.02,0.83,0.71
350,0.36,0.24,0.05,0.71,0.59
351,0.53,0.14,0.04,0.77,0.69
352,0.53,0.06,0.03,0.85,0.66
353,0.63,0.11,0.03,0.84,0.67
354,0.38,0.11,0.01,0.90,0.82
355,0.58,0.13,0.02,0.81,0.67
356,0.27,0.09,0.03,0.86,0.80
357,0.37,0.14,0.03,0.86,0.77
358,0.57,0.12,0.01,0.82,0.61
359,0.47,0.20,0.04,0.81,0.70
360,0.54,0.27,0.08,0.79,0.64
361,0.34,0.11,0.02,0.87,0.77
362,0.51,0.13,0.02,0.85,0.75
363,0.51,0.13,0.02,0.85,0.75
364,0.52,0.07,0.01,0.87,0.80
365,0.65,0.15,0.03,0.77,0.58
366,0.38,0.27,0.03,0.82,0.60
367,0.58,0.18,0.02,0.83,0.67
368,0.64,0.08,0.02,0.88,0.85
369,0.76,0.07,0.01,0.83,0.67
370,0.59,0.14,0.03,0.81,0.77
371,0.72,0.20,0.03,0.69,0.79
372,0.52,0.12,0.03,0.83,0.74
373,0.69,0.13,0.02,0.79,0.71
374,0.51,0.13,0.01,0.87,0.81
375,0.48,0.35,0.02,0.80,0.74
376,0.65,0.07,0.01,0.72,0.76
377,0.29,0.15,0.01,0.84,0.68
378,0.65,0.17,0.02,0.73,0.76
379,0.72,0.17,0.02,0.76,0.60
380,0.49,0.24,0.06,0.78,0.72
381,0.38,0.13,0.01,0.91,0.86
382,0.60,0.15,0.03,0.85,0.76
383,0.41,0.29,0.03,0.86,0.78
384,0.59,0.12,0.02,0.85,0.72
385,0.53,0.11,0.01,0.88,0.76
386,0.66,0.17,0.02,0.75,0.75
387,0.52,0.06,0.01,0.92,0.71
388,0.49,0.12,0.04,0.78,0.77
389,0.43,0.18,0.05,0.86,0.69
390,0.47,0.11,0.02,0.91,0.79
391,0.54,0.21,0.02,0.89,0.61
392,0.58,0.17,0.05,0.76,0.67
393,0.65,0.19,0.01,0.89,0.76
394,0.60,0.13,0.01,0.86,0.81
395,0.30,0.28,0.02,0.86,0.80
396,0.39,0.17,0.02,0.90,0.81
397,0.57,0.09,0.02,0.81,0.62
398,0.55,0.08,0.01,0.90,0.88
399,0.60,0.12,0.01,0.88,0.75
400,0.28,0.21,0.03,0.85,0.68
401,0.59,0.36,0.04,0.78,0.62
402,0.50,0.06,0.01,0.89,0.79
403,0.29,0.40,0.03,0.88,0.69
404,0.28,0.17,0.02,0.92,0.79
405,0.45,0.24,0.02,0.88,0.81
406,0.40,0.18,0.02,0.87,0.80
407,0.63,0.45,0.03,0.71,0.53
408,0.45,0.15,0.03,0.84,0.63
409,0.48,0.14,0.02,0.87,0.72
410,0.64,0.17,0.04,0.73,0.61
411,0.66,0.20,0.05,0.63,0.53
412,0.48,0.07,0.02,0.87,0.75
413,0.59,0.15,0.03,0.84,0.70
414,0.57,0.08,0.01,0.79,0.80
415,0.64,0.23,0.02,0.81,0.74
416,0.67,0.25,0.03,0.78,0.73
417,0.58,0.17,0.02,0.79,0.66
418,0.44,0.22,0.03,0.76,0.65
419,0.38,0.18,0.02,0.86,0.80
420,0.33,0.10,0.02,0.86,0.83
421,0.65,0.14,0.04,0.64,0.65
422,0.71,0.17,0.04,0.67,0.63
423,0.43,0.16,0.01,0.75,0.82
424,0.78,0.06,0.01,0.80,0.77
425,0.70,0.04,0.00,0.85,0.89
426,0.73,0.08,0.02,0.61,0.81
427,0.55,0.08,0.01,0.70,0.82
428,0.75,0.04,0.01,0.88,0.91
429,0.76,0.06,0.01,0.78,0.86
430,0.52,0.08,0.00,0.82,0.79
431,0.68,0.03,0.00,0.78,0.86
432,0.39,0.12,0.01,0.87,0.91
433,0.66,0.06,0.01,0.77,0.73
434,0.33,0.11,0.00,0.90,0.79
435,0.81,0.06,0.01,0.72,0.74
436,0.57,0.04,0.00,0.84,0.86
437,0.78,0.04,0.00,0.87,0.84
438,0.82,0.17,0.01,0.73,0.73
439,0.65,0.09,0.01,0.81,0.86
440,0.82,0.12,0.01,0.81,0.81
441,0.84,0.02,0.00,0.66,0.84
442,0.80,0.11,0.01,0.84,0.87
443,0.54,0.15,0.00,0.90,0.70
444,0.85,0.06,0.01,0.84,0.78
445,0.59,0.16,0.00,0.87,0.74
446,0.85,0.03,0.01,0.78,0.84
447,0.58,0.08,0.00,0.89,0.91
448,0.67,0.06,0.01,0.89,0.87
449,0.52,0.08,0.00,0.88,0.95
450,0.76,0.03,0.00,0.87,0.95
451,0.60,0.09,0.00,0.93,0.89
452,0.55,0.07,0.00,0.90,0.93
453,0.60,0.07,0.00,0.88,0.89
454,0.71,0.08,0.01,0.90,0.89
455,0.69,0.07,0.00,0.76,0.92
456,0.60,0.09,0.01,0.88,0.88
457,0.63,0.05,0.01,0.89,0.93
458,0.68,0.04,0.01,0.88,0.88
459,0.61,0.04,0.00,0.80,0.92
460,0.55,0.08,0.01,0.90,0.89
461,0.53,0.06,0.00,0.89,0.95
462,0.72,0.07,0.01,0.89,0.83
463,0.51,0.03,0.00,0.89,0.95
464,0.62,0.10,0.01,0.77,0.90
465,0.51,0.05,0.00,0.79,0.94
466,0.72,0.02,0.00,0.78,0.91
467,0.69,0.04,0.00,0.87,0.92
468,0.70,0.03,0.00,0.87,0.88
469,0.59,0.03,0.00,0.83,0.91
470,0.34,0.13,0.01,0.93,0.94
