frame,Happy,Sad,Surprise,Angry,Disgust
0,0.75,0.13,0.01,0.76,0.90
1,0.73,0.07,0.01,0.66,0.69
2,0.90,0.02,0.01,0.57,0.67
3,0.86,0.02,0.00,0.72,0.84
4,0.64,0.03,0.01,0.78,0.83
5,0.55,0.05,0.00,0.95,0.93
6,0.62,0.05,0.00,0.96,0.93
7,0.42,0.04,0.00,0.91,0.94
8,0.83,0.07,0.01,0.80,0.73
9,0.75,0.06,0.00,0.83,0.91
10,0.81,0.04,0.01,0.85,0.76
11,0.80,0.06,0.01,0.71,0.71
12,0.82,0.04,0.00,0.77,0.81
13,0.78,0.05,0.01,0.83,0.87
14,0.44,0.07,0.00,0.85,0.88
15,0.54,0.10,0.00,0.92,0.94
16,0.75,0.02,0.00,0.74,0.86
17,0.62,0.11,0.01,0.89,0.85
18,0.65,0.06,0.00,0.93,0.91
19,0.69,0.07,0.01,0.85,0.79
20,0.89,0.06,0.00,0.69,0.91
21,0.87,0.03,0.00,0.68,0.81
22,0.88,0.05,0.00,0.73,0.83
23,0.91,0.06,0.01,0.74,0.86
24,0.62,0.10,0.01,0.69,0.76
25,0.92,0.05,0.01,0.73,0.83
26,0.83,0.06,0.00,0.84,0.92
27,0.91,0.02,0.00,0.75,0.79
28,0.82,0.04,0.00,0.89,0.92
29,0.94,0.04,0.00,0.65,0.74
30,0.94,0.08,0.01,0.73,0.53
31,0.90,0.05,0.01,0.75,0.56
32,0.91,0.06,0.00,0.78,0.75
33,0.87,0.12,0.01,0.82,0.74
34,0.82,0.05,0.00,0.71,0.78
35,0.76,0.06,0.01,0.90,0.90
36,0.94,0.12,0.01,0.73,0.69
37,0.60,0.12,0.01,0.74,0.90
38,0.84,0.10,0.01,0.77,0.85
39,0.79,0.12,0.01,0.78,0.84
40,0.87,0.09,0.01,0.68,0.81
41,0.88,0.06,0.00,0.77,0.82
42,0.83,0.04,0.00,0.72,0.89
43,0.93,0.06,0.01,0.85,0.69
44,0.82,0.11,0.00,0.73,0.89
45,0.70,0.06,0.01,0.90,0.86
46,0.80,0.05,0.01,0.57,0.76
47,0.78,0.07,0.00,0.76,0.93
48,0.94,0.09,0.00,0.67,0.81
49,0.81,0.08,0.00,0.74,0.82
50,0.80,0.13,0.01,0.83,0.85
51,0.94,0.04,0.00,0.60,0.79
52,0.86,0.08,0.00,0.77,0.87
53,0.96,0.04,0.01,0.61,0.67
54,0.78,0.06,0.00,0.75,0.87
55,0.83,0.14,0.01,0.80,0.71
56,0.80,0.12,0.00,0.82,0.75
57,0.81,0.06,0.01,0.73,0.83
58,0.67,0.14,0.01,0.72,0.80
59,0.87,0.09,0.00,0.75,0.81
60,0.91,0.04,0.01,0.61,0.86
61,0.82,0.03,0.00,0.73,0.85
62,0.79,0.22,0.02,0.62,0.60
63,0.84,0.07,0.01,0.68,0.69
64,0.86,0.07,0.01,0.68,0.80
65,0.91,0.12,0.00,0.72,0.79
66,0.93,0.07,0.00,0.76,0.71
